timestamp;akkuLadestand;solarleistung;akkuLadung;hausabgabe;netzbezug;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2025-12-19T00:00:00;268.0;0.0;0.0;0.0;208.0;208.0;0.0;0.0;0.0;0;208.0;208.0;208.0;0.0;268;268.0
2025-12-19T00:03:57.425117;268.0;0.0;0.0;0.0;212.0;212.0;0.0;0.0;0.0;0.0;0;212.0;0.0;212.0;268;268.0
2025-12-19T00:08:57.407991;268.0;0.0;0.0;0.0;196.0;196.0;0.0;0.0;0.0;0.0;0;196.0;0.0;196.0;268;268.0
2025-12-19T00:14:23.416460;268.0;0.0;0.0;0.0;188.0;188.0;0.0;0.0;0.0;0.0;0;188.0;0.0;188.0;268;268.0
2025-12-19T00:19:23.409687;268.0;0.0;0.0;0.0;184.0;184.0;0.0;0.0;0.0;0.0;0;184.0;0.0;184.0;268;268.0
2025-12-19T00:24:49.435020;268.0;0.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
2025-12-19T00:39:15.402900;268.0;0.0;0.0;0.0;205.0;205.0;0.0;0.0;0.0;0.0;0;205.0;0.0;205.0;268;268.0
2025-12-19T00:44:41.441705;268.0;0.0;0.0;0.0;212.0;212.0;0.0;0.0;0.0;0.0;0;212.0;0.0;212.0;268;268.0
2025-12-19T00:49:41.405546;268.0;0.0;0.0;0.0;233.0;233.0;0.0;0.0;0.0;0.0;0;233.0;0.0;233.0;268;268.0
2025-12-19T00:55:07.436966;268.0;0.0;0.0;0.0;234.0;234.0;0.0;0.0;0.0;0.0;0;234.0;0.0;234.0;268;268.0
2025-12-19T00:59:07.412627;268.0;0.0;0.0;0.0;2016.0;2016.0;0.0;0.0;0.0;0.0;0;2016.0;0.0;2016.0;268;268.0
2025-12-19T01:04:07.406840;268.0;0.0;0.0;0.0;2081.0;2081.0;0.0;0.0;0.0;0.0;0;2081.0;0.0;2081.0;268;268.0
2025-12-19T01:09:33.405097;268.0;0.0;0.0;0.0;225.0;225.0;0.0;0.0;0.0;0.0;0;225.0;0.0;225.0;268;268.0
2025-12-19T01:14:33.409699;268.0;0.0;0.0;0.0;220.0;220.0;0.0;0.0;0.0;0.0;0;220.0;0.0;220.0;268;268.0
2025-12-19T01:19:59.408072;268.0;0.0;0.0;0.0;238.0;238.0;0.0;0.0;0.0;0.0;0;238.0;0.0;238.0;268;268.0
2025-12-19T01:24:59.404831;268.0;0.0;0.0;0.0;219.0;219.0;0.0;0.0;0.0;0.0;0;219.0;0.0;219.0;268;268.0
2025-12-19T01:29:24.404424;268.0;0.0;0.0;0.0;227.0;227.0;0.0;0.0;0.0;0.0;0;227.0;0.0;227.0;268;268.0
2025-12-19T01:34:24.422559;268.0;0.0;0.0;0.0;241.0;241.0;0.0;0.0;0.0;0.0;0;241.0;0.0;241.0;268;268.0
2025-12-19T01:39:50.409404;268.0;0.0;0.0;0.0;233.0;233.0;0.0;0.0;0.0;0.0;0;233.0;0.0;233.0;268;268.0
2025-12-19T01:44:50.401423;268.0;0.0;0.0;0.0;237.0;237.0;0.0;0.0;0.0;0.0;0;237.0;0.0;237.0;268;268.0
2025-12-19T01:50:16.406534;268.0;0.0;0.0;0.0;238.0;238.0;0.0;0.0;0.0;0.0;0;238.0;0.0;238.0;268;268.0
2025-12-19T01:55:16.410394;268.0;0.0;0.0;0.0;222.0;222.0;0.0;0.0;0.0;0.0;0;222.0;0.0;222.0;268;268.0
2025-12-19T01:59:41.402842;268.0;0.0;0.0;0.0;209.0;209.0;0.0;0.0;0.0;0.0;0;209.0;0.0;209.0;268;268.0
2025-12-19T02:04:41.399860;268.0;0.0;0.0;0.0;2111.0;2111.0;0.0;0.0;0.0;0.0;0;2111.0;0.0;2111.0;268;268.0
2025-12-19T02:10:07.415036;268.0;0.0;0.0;0.0;230.0;230.0;0.0;0.0;0.0;0.0;0;230.0;0.0;230.0;268;268.0
2025-12-19T02:15:07.420923;268.0;0.0;0.0;0.0;245.0;245.0;0.0;0.0;0.0;0.0;0;245.0;0.0;245.0;268;268.0
2025-12-19T02:20:33.408974;268.0;0.0;0.0;0.0;227.0;227.0;0.0;0.0;0.0;0.0;0;227.0;0.0;227.0;268;268.0
2025-12-19T02:25:33.401045;268.0;0.0;0.0;0.0;237.0;237.0;0.0;0.0;0.0;0.0;0;237.0;0.0;237.0;268;268.0
2025-12-19T02:29:58.417088;268.0;0.0;0.0;0.0;180.0;180.0;0.0;0.0;0.0;0.0;0;180.0;0.0;180.0;268;268.0
2025-12-19T02:40:24.568742;268.0;0.0;0.0;0.0;181.0;181.0;0.0;0.0;0.0;0.0;0;181.0;0.0;181.0;268;268.0
2025-12-19T02:50:50.428967;268.0;0.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;0.0;0;200.0;0.0;200.0;268;268.0
2025-12-19T02:54:50.411201;268.0;0.0;0.0;0.0;205.0;205.0;0.0;0.0;0.0;0.0;0;205.0;0.0;205.0;268;268.0
2025-12-19T03:01:16.456467;268.0;0.0;0.0;0.0;202.0;202.0;0.0;0.0;0.0;0.0;0;202.0;0.0;202.0;268;268.0
2025-12-19T03:10:42.426706;268.0;0.0;0.0;0.0;198.0;198.0;0.0;0.0;0.0;0.0;0;198.0;0.0;198.0;268;268.0
2025-12-19T03:15:42.417860;268.0;0.0;0.0;0.0;208.0;208.0;0.0;0.0;0.0;0.0;0;208.0;0.0;208.0;268;268.0
2025-12-19T03:21:08.446108;268.0;0.0;0.0;0.0;210.0;210.0;0.0;0.0;0.0;0.0;0;210.0;0.0;210.0;268;268.0
2025-12-19T03:25:08.424164;268.0;0.0;0.0;0.0;182.0;182.0;0.0;0.0;0.0;0.0;0;182.0;0.0;182.0;268;268.0
2025-12-19T03:30:08.404111;268.0;0.0;0.0;0.0;192.0;192.0;0.0;0.0;0.0;0.0;0;192.0;0.0;192.0;268;268.0
2025-12-19T03:35:34.414752;268.0;0.0;0.0;0.0;188.0;188.0;0.0;0.0;0.0;0.0;0;188.0;0.0;188.0;268;268.0
2025-12-19T03:40:34.408767;268.0;0.0;0.0;0.0;203.0;203.0;0.0;0.0;0.0;0.0;0;203.0;0.0;203.0;268;268.0
2025-12-19T03:45:59.406828;268.0;0.0;0.0;0.0;204.0;204.0;0.0;0.0;0.0;0.0;0;204.0;0.0;204.0;268;268.0
2025-12-19T03:50:59.434679;268.0;0.0;0.0;0.0;202.0;202.0;0.0;0.0;0.0;0.0;0;202.0;0.0;202.0;268;268.0
