timestamp;hausabgabe;solarleistung_pv2;solarleistung_pv4;akkuLadung;akkuLadestand;solarleistung_pv1;netzeinspeisung;netzbezug;solarleistung_pv3;solarleistung;gesamtVerbrauch;simulierteSolarleistung;tmpSimulierteHausabgabe;simulierteAkkuLadung;simulierteVerpuffteSolarleistung;simulierteAkkuEntladung;tmpSimulierterNetzbezug;simulierteHausabgabe;simulierterNetzbezug;simulierterAkkuLadestand;normierterAkkuLadestand
2026-03-15T00:00:00;0.0;0.0;0.0;0.0;268.0;0.0;0.0;181.0;0.0;0.0;181.0;0;0;0;0;181.0;181.0;181.0;0.0;426;268.0
2026-03-15T00:03:41.833997;0.0;0.0;0.0;0.0;268.0;0.0;0.0;200.0;0.0;0.0;200.0;0;0;0;0;0;200.0;0;200.0;426;426
2026-03-15T00:08:41.827540;0.0;0.0;0.0;0.0;268.0;0.0;0.0;223.0;0.0;0.0;223.0;0;0;0;0;0;223.0;0;223.0;426;426.0
2026-03-15T00:18:46.821381;0.0;0.0;0.0;0.0;268.0;0.0;0.0;203.0;0.0;0.0;203.0;0;0;0;0;0;203.0;0;203.0;426;426.0
2026-03-15T00:23:51.814825;0.0;0.0;0.0;0.0;268.0;0.0;0.0;201.0;0.0;0.0;201.0;0;0;0;0;0;201.0;0;201.0;426;426.0
2026-03-15T00:28:51.807934;0.0;0.0;0.0;0.0;268.0;0.0;0.0;200.0;0.0;0.0;200.0;0;0;0;0;0;200.0;0;200.0;426;426.0
2026-03-15T00:33:56.808370;0.0;0.0;0.0;0.0;268.0;0.0;0.0;199.0;0.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;426;426.0
2026-03-15T00:38:56.821859;0.0;0.0;0.0;0.0;268.0;0.0;0.0;182.0;0.0;0.0;182.0;0;0;0;0;0;182.0;0;182.0;426;426.0
2026-03-15T00:44:01.812309;0.0;0.0;0.0;0.0;268.0;0.0;0.0;201.0;0.0;0.0;201.0;0;0;0;0;0;201.0;0;201.0;426;426.0
2026-03-15T00:49:01.806341;0.0;0.0;0.0;0.0;268.0;0.0;0.0;200.0;0.0;0.0;200.0;0;0;0;0;0;200.0;0;200.0;426;426.0
2026-03-15T00:54:06.830078;0.0;0.0;0.0;0.0;268.0;0.0;0.0;214.0;0.0;0.0;214.0;0;0;0;0;0;214.0;0;214.0;426;426.0
2026-03-15T00:59:06.809095;0.0;0.0;0.0;0.0;268.0;0.0;0.0;199.0;0.0;0.0;199.0;0;0;0;0;0;199.0;0;199.0;426;426.0
2026-03-15T01:04:11.816433;0.0;0.0;0.0;0.0;268.0;0.0;0.0;176.0;0.0;0.0;176.0;0;0;0;0;0;176.0;0;176.0;426;426.0
2026-03-15T01:14:16.807789;0.0;0.0;0.0;0.0;268.0;0.0;0.0;177.0;0.0;0.0;177.0;0;0;0;0;0;177.0;0;177.0;426;426.0
